year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,def_avg_Delay
2004,1,OO,SkyWest Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",516.0,93.0,57.0,12.0,7.0,4.0,13.0,4.0,1.0,3484.0,2171.0,455.0,227.0,114.0,517.0,-1121.9782878562069
2004,1,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",653.0,38.0,17.0,3.0,4.0,2.0,12.0,2.0,1.0,1317.0,445.0,74.0,139.0,101.0,558.0,-1080.9782878562069
2004,1,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2862.0,942.0,194.0,25.0,584.0,5.0,134.0,105.0,4.0,49372.0,8263.0,1934.0,32724.0,114.0,6337.0,4698.021712143793
2004,1,OO,SkyWest Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",315.0,35.0,23.0,2.0,1.0,1.0,8.0,8.0,1.0,1692.0,1182.0,146.0,33.0,22.0,309.0,-1329.9782878562069
2004,1,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",5729.0,1765.0,747.0,217.0,498.0,30.0,273.0,289.0,4.0,82232.0,29662.0,13087.0,26867.0,874.0,11742.0,10103.021712143793
2004,1,RU,ExpressJet Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",3705.0,813.0,91.13,14.34,457.45,1.93,248.15,81.0,2.0,35892.0,6848.0,1230.0,13740.0,41.0,14033.0,12394.021712143793
2004,1,RU,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",4344.0,1014.0,98.79,33.01,636.08,0.64,245.48,234.0,6.0,60884.0,6153.0,3073.0,38107.0,16.0,13535.0,11896.021712143793
2004,1,RU,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",6119.0,960.0,96.76,30.98,550.92,7.06,274.28,33.0,9.0,36889.0,7064.0,1667.0,15421.0,143.0,12594.0,10955.021712143793
2004,1,TZ,ATA Airlines d/b/a ATA,LAX,"Los Angeles, CA: Los Angeles International",266.0,74.0,19.63,2.8,20.65,1.14,29.79,2.0,1.0,5930.0,1233.0,190.0,1112.0,36.0,3359.0,1720.0217121437931
2004,1,TZ,ATA Airlines d/b/a ATA,MDW,"Chicago, IL: Chicago Midway International",2464.0,703.0,70.89,10.75,367.49,4.82,249.04,67.0,4.0,57111.0,6063.0,1122.0,28845.0,182.0,20899.0,19260.021712143793
2004,1,TZ,ATA Airlines d/b/a ATA,SFO,"San Francisco, CA: San Francisco International",323.0,118.0,23.58,1.91,53.45,2.25,36.81,7.0,1.0,7681.0,1598.0,313.0,2135.0,105.0,3530.0,1891.0217121437931
2004,1,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",2520.0,324.0,83.84,10.36,74.42,0.79,154.58,36.0,1.0,14343.0,3938.0,629.0,2428.0,19.0,7329.0,5690.021712143793
2004,1,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",525.0,97.0,18.1,7.7,22.39,0.95,47.86,10.0,3.0,4024.0,650.0,588.0,587.0,100.0,2099.0,460.02171214379314
2004,1,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1504.0,221.0,58.02,6.14,19.12,0.8,136.92,17.0,7.0,8123.0,1846.0,414.0,760.0,13.0,5090.0,3451.021712143793
