AIRPORT,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
AVP,4029,8,199.0,54.0,14.0,2.0,2757.0,-2300.9565757124137,1.273656085291791,0.7802554951426288,0.6055631631096712,1.2488023198891787,1.179746835443038
AZA,8076,18,2347.0,553.0,155.0,5.0,36182.0,13694.08684857517,0.5596994327237259,0.2792561685658552,0.6071263815107538,0.5441153194250805,0.18174612268377238
AZO,2010,1,159.0,45.0,8.0,1.0,1978.0,-1152.9782878562069,0.5043900616476743,0.1988968910580719,0.1132075471698113,0.3419329996149403,0.1143510577472841
BDL,82502,251,16827.0,4090.0,388.0,58.0,220019.0,36704.89019789552,8.487035625330437,5.493402152638098,8.548025219000074,7.518642626938459,8.352173415846874
BFL,10062,38,1135.0,248.0,48.0,7.0,14950.0,-763.8914392810343,1.4692818705875148,1.127231775218396,1.7336019778353227,1.7497514255833078,0.8911957733540787
BGM,2019,6,85.0,21.0,1.0,1.0,1659.0,-1337.9782878562069,0.5647809362979641,0.7647058823529411,0.4447632711621234,1.2523342670401494,1.147776183644189
BHM,124647,383,26507.0,6234.0,380.0,160.0,330434.0,61750.34615291525,12.112893345598907,7.586970260047333,15.397336375840787,10.716673487069585,8.611639738248162
BIL,6041,18,453.0,46.0,7.0,3.0,2074.0,-4325.93486356862,1.6668403588658327,0.6742109485396562,0.5577533577533577,1.107832579308717,1.553257495192979
BIS,8051,13,682.0,108.0,25.0,5.0,7211.0,-4686.913151424827,1.5658666733825526,0.8281121385154433,4.656584435005208,1.3888244491631219,1.047150477162506
BLI,2017,10,155.0,46.0,7.0,1.0,2544.0,-142.97828785620686,0.3751112671288693,0.2133424602835058,0.2932551319648094,0.4957555178268251,0.1612903225806451
BNA,444450,1444,397080.0,70357.0,3439.0,692.0,3511827.0,1538916.7983837847,17.19038369256708,10.39217027272583,20.096765841141394,14.72930689569109,10.470507478688104
BOI,68346,226,18439.0,4267.0,272.0,105.0,238497.0,58653.73821288901,3.866907013642069,3.0843313790712306,5.105221251975906,3.519536438295393,2.4016798968009025
BOS,706036,2229,659398.0,155282.0,17120.0,975.0,10205305.0,3619138.6209624996,20.68412828138444,15.76481170844858,23.89349731357626,18.1763087158867,15.216355483462229
BPT,4030,5,121.0,41.0,5.0,2.0,1994.0,-2966.9565757124137,1.566002265763885,1.465088479316681,2.9776211559892776,1.722935121155366,0.9751391748646381
BQK,2004,6,99.0,27.0,12.0,2.0,1278.0,-1471.9782878562069,0.5548910154173312,0.4935459377372818,0.6365845332048116,0.3756752952894432,0.2217294900221729
BQN,6030,27,340.0,86.0,6.0,3.0,4894.0,-3513.9348635686206,1.7961713211138008,1.046296225518627,2.8436097660199953,1.4765296482575012,1.0711813567975186
BRO,26106,74,1923.0,433.0,42.0,20.0,21569.0,-14863.717742130693,5.608782548349316,3.180474777635245,6.239950975184092,4.60462676681331,2.764073577737655
BRW,22122,68,776.0,219.0,32.0,19.0,13895.0,-11172.761166418277,10.632460000337893,5.651919191167472,10.794316394856603,12.795751154742723,6.406550892288606
BTR,54215,181,5706.0,1339.0,162.0,35.0,69919.0,-25322.413772117594,7.42639814244897,5.701246569688582,13.849570536675575,6.792539068915311,4.5525698267702355
BTV,18084,67,1302.0,306.0,42.0,10.0,18658.0,-7302.804590705862,4.72756433915416,2.93412702182769,5.20576086365204,3.6688320464285544,3.136130312149472
BUF,112618,333,24512.0,6048.0,438.0,80.0,334778.0,58281.21588005246,9.515274717970922,6.20465351707492,13.175869066285722,8.31257956491586,7.285481370109293
BUR,189042,619,132274.0,23663.0,2352.0,259.0,1044768.0,497100.0409415162,5.157929409749912,3.3408989187543305,5.966095260716931,4.417547887566522,3.181526207099318
BWI,541186,1777,1042827.0,172060.0,15324.0,2440.0,9078749.0,4169425.8405667036,16.096310067599468,12.156595667137937,19.922873227306425,13.916502098733245,13.529027734125883
BZN,10047,32,1477.0,452.0,19.0,17.0,25204.0,1528.1085607189652,1.0735888293817295,0.920020752411023,1.3853215128160727,0.9503146062102882,0.5235720024257944
CAE,24081,100,2935.0,813.0,84.0,13.0,50567.0,-5045.739454274486,3.4385381114616123,3.1338938746905276,7.39663393458491,3.387958516053147,2.292450040797679
CAK,4035,12,359.0,121.0,9.0,3.0,9015.0,1225.0434242875863,1.0017672191366438,0.38236265424607263,0.9480641952307842,1.1302556298076714,1.0073132985977675
CEC,4015,17,174.0,46.0,7.0,3.0,3191.0,-1218.9565757124137,1.578760111009578,1.5449104261344924,0.6911976911976911,1.67217117829151,0.6126984126984126
CHA,6042,24,300.0,68.0,10.0,3.0,4063.0,-3853.9348635686206,1.4733708102649183,1.4274555975084873,2.807476840767694,1.5115939499779993,3.755718950248398
CHO,4036,14,251.0,67.0,13.0,3.0,3408.0,-1428.9565757124137,0.9645087247027551,0.4770236752408896,0.9380385899163843,0.7836125446421041,1.5362006186579005
CHS,52301,162,6407.0,1608.0,188.0,41.0,97791.0,-8184.435484261383,7.988535150932476,4.749576201715655,10.55927546876693,7.6398881244549,5.6778461696089
CID,30189,99,2835.0,666.0,119.0,21.0,39428.0,-10473.674317843108,5.734299625446955,3.5649459669773758,6.96658985475481,5.688318680729003,5.09797059664374
CLE,343328,1080,332998.0,63135.0,4555.0,691.0,3553504.0,1515566.7127765948,11.426049395583266,7.941158781134276,14.75009653332184,10.672264439403609,8.85466161664966
CLT,579758,1877,1508739.0,235017.0,28100.0,2777.0,12932889.0,4767274.253097436,16.205019009624113,9.809795740965722,18.147201753232086,13.942688278723983,10.12417399300196
CMH,140844,426,48659.0,10756.0,920.0,135.0,609250.0,189753.51985006535,12.03935074102758,6.961014870699311,12.289727615292891,10.890157475064255,7.360493838910318
CMI,2019,3,207.0,34.0,1.0,1.0,1593.0,-1078.9782878562069,0.2448247972544647,0.1812976044395803,0.4205331387064261,0.1926913620643425,0.2355072463768115
COS,118572,386,25142.0,5804.0,416.0,144.0,332856.0,41558.28101648383,12.680152097506172,8.450711410779212,17.34991278902783,11.471319550610934,9.812868047394257
CPR,2004,1,276.0,85.0,10.0,1.0,4453.0,-462.97828785620686,0.1852551984877126,0.1381340579710145,0.4368530020703933,0.1659577819785759,0.0760869565217391
CRP,16066,48,2169.0,424.0,46.0,10.0,22291.0,-6073.826302849655,1.6503644649202325,1.1405846509605744,1.900500648119266,1.503984317822339,0.973182981882535
CRW,28172,89,2910.0,667.0,108.0,28.0,41359.0,-5266.696029986897,4.859205504588674,3.248970735180729,4.315428061600377,4.130487147250388,4.943428859084279
CVG,263039,889,540450.0,88646.0,15121.0,849.0,4671086.0,238657.84429083663,9.923489424989555,5.965339102318003,10.564462903684932,9.48237818610304,6.37585028106581
CWA,2010,7,144.0,33.0,3.0,3.0,1281.0,-1222.9782878562069,0.3324383071218514,0.2100613443926041,0.2443415637860082,0.2958094897472579,0.2995642701525054
DAB,2018,2,121.0,28.0,1.0,1.0,1707.0,-919.9782878562067,0.5074422510956941,0.3242068177133112,0.3863468386749983,0.6680853169693671,0.194916575705598
DAL,392269,1287,722921.0,127754.0,14610.0,2490.0,6474421.0,3386528.2338680546,6.899660592619991,5.177443890799261,9.946937838580123,6.094723133734878,4.215106677592498
DAY,42234,125,6580.0,1765.0,285.0,30.0,119888.0,24947.45595501965,5.235086242282882,2.8884472116936837,5.947929918864007,4.398930926402348,4.863461333317892
DCA,700306,2175,477098.0,90197.0,13884.0,1564.0,5213058.0,1487847.55582605,27.773718613842195,18.780545355920623,33.98809633436248,23.458288335224733,21.22082751545809
DEN,973863,3183,1759684.0,309890.0,29151.0,4872.0,17385183.0,6946393.508677642,19.499254201949515,13.145296518106782,24.97617769860638,16.94610534676657,11.69901329133909
DFW,1124487,3575,3809469.0,683438.0,87311.0,16020.0,43496505.0,17089218.137088176,31.16454452051056,21.303651385670033,37.50325617056648,28.906880786018938,19.485946256433596
DHN,2008,8,117.0,36.0,4.0,1.0,2546.0,-1400.9782878562069,1.6951566951566952,0.5350637522768671,0.6837606837606838,0.5547684990193701,0.5811965811965812
DLH,4038,12,460.0,78.0,15.0,13.0,9687.0,-2258.9565757124137,0.43134577684138087,0.3747488818835714,2.706325826253396,0.8243120054280115,0.6864158248835559
DRO,10070,32,488.0,111.0,10.0,5.0,7007.0,-6461.891439281035,3.66302678502711,2.2438532778775575,3.924210353483292,2.911575755742774,3.7725647595847285
